Times;CH3 CH 3;CH4 CH 4;CH5 CH 5
0 ns;0;0;0
76.130 us;0;0;1
78.250 us;0;0;0
162.400 us;0;0;1
164.520 us;0;0;0
257.290 us;0;0;1
259.410 us;0;0;0
270.350 us;0;0;1
270.400 us;1;0;1
274.540 us;1;0;0
274.600 us;0;0;0
343.560 us;0;0;1
345.680 us;0;0;0
429.820 us;0;0;1
431.950 us;0;0;0
516.090 us;0;0;1
518.210 us;0;0;0
547.480 us;0;0;1
547.540 us;1;0;1
551.680 us;1;0;0
551.750 us;0;0;0
602.360 us;0;0;1
604.480 us;0;0;0
688.620 us;0;0;1
690.740 us;0;0;0
774.890 us;0;0;1
777.010 us;0;0;0
824.620 us;0;0;1
824.670 us;1;0;1
828.810 us;1;0;0
828.870 us;0;0;0
861.150 us;0;0;1
863.280 us;0;0;0
947.420 us;0;0;1
949.540 us;0;0;0
1.033 680 ms;0;0;1
1.035 810 ms;0;0;0
1.101 760 ms;0;0;1
1.101 820 ms;1;0;1
1.105 960 ms;1;0;0
1.106 020 ms;0;0;0
1.107 300 ms;0;0;1
1.107 330 ms;0;1;1
1.107 350 ms;1;1;1
1.109 300 ms;1;1;0
1.109 330 ms;1;0;0
1.109 360 ms;0;0;0
1.119 950 ms;0;0;1
1.122 070 ms;0;0;0
1.197 590 ms;0;0;1
1.199 710 ms;0;0;0
1.292 480 ms;0;0;1
1.294 600 ms;0;0;0
1.344 240 ms;0;0;1
1.346 360 ms;0;0;0
1.378 890 ms;0;0;1
1.378 950 ms;1;0;1
1.383 090 ms;1;0;0
1.383 150 ms;0;0;0
1.465 010 ms;0;0;1
1.467 140 ms;0;0;0
1.551 280 ms;0;0;1
1.553 400 ms;0;0;0
1.620 290 ms;0;0;1
1.622 420 ms;0;0;0
1.656 030 ms;0;0;1
1.656 090 ms;1;0;1
1.660 230 ms;1;0;0
1.660 290 ms;0;0;0
1.715 190 ms;0;0;1
1.717 310 ms;0;0;0
1.801 450 ms;0;0;1
1.803 580 ms;0;0;0
1.896 340 ms;0;0;1
1.898 470 ms;0;0;0
1.933 170 ms;0;0;1
1.933 230 ms;1;0;1
1.937 360 ms;1;0;0
1.937 420 ms;0;0;0
1.982 610 ms;0;0;1
1.984 730 ms;0;0;0
2.068 880 ms;0;0;1
2.071 000 ms;0;0;0
2.155 150 ms;0;0;1
2.157 260 ms;0;0;0
2.210 300 ms;0;0;1
2.210 360 ms;1;0;1
2.214 510 ms;1;0;0
2.214 570 ms;0;0;0
2.224 160 ms;0;0;1
2.226 280 ms;0;0;0
2.327 680 ms;0;0;1
2.329 800 ms;0;0;0
2.413 940 ms;0;0;1
2.416 060 ms;0;0;0
2.487 440 ms;0;0;1
2.487 500 ms;1;0;1
2.491 630 ms;1;0;0
2.491 690 ms;0;0;0
2.500 210 ms;0;0;1
2.502 330 ms;0;0;0
2.586 480 ms;0;0;1
2.588 590 ms;0;0;0
2.646 750 ms;0;0;1
2.646 780 ms;0;1;1
2.646 800 ms;1;1;1
2.648 750 ms;1;1;0
2.648 780 ms;1;0;0
2.648 810 ms;0;0;0
2.672 740 ms;0;0;1
2.674 870 ms;0;0;0
2.750 380 ms;0;0;1
2.752 500 ms;0;0;0
2.764 580 ms;0;0;1
2.764 640 ms;1;0;1
2.768 790 ms;1;0;0
2.768 840 ms;0;0;0
2.810 770 ms;0;0;1
2.812 890 ms;0;0;0
2.922 910 ms;0;0;1
2.925 040 ms;0;0;0
3.017 810 ms;0;0;1
3.019 930 ms;0;0;0
3.041 720 ms;0;0;1
3.041 770 ms;1;0;1
3.048 260 ms;1;0;0
3.048 320 ms;0;0;0
3.086 820 ms;0;0;1
3.088 940 ms;0;0;0
3.190 340 ms;0;0;1
3.192 460 ms;0;0;0
3.267 980 ms;0;0;1
3.270 100 ms;0;0;0
3.318 850 ms;0;0;1
3.318 910 ms;1;0;1
