Times;CH3 CH 3;CH4 CH 4;CH5 CH 5;CH6 CH 6;CH7 CH 7;CH8 CH 8
0 ns;0;0;0;0;0;0
11.460 us;0;0;0;0;1;0
12.190 us;0;0;1;0;1;0
14.350 us;0;0;1;0;0;0
15.060 us;0;0;0;0;0;0
97.730 us;0;0;0;0;1;0
98.460 us;0;0;1;0;1;0
100.620 us;0;0;1;0;0;0
101.330 us;0;0;0;0;0;0
126.150 us;0;0;0;0;1;0
126.880 us;0;0;1;0;1;0
126.930 us;1;0;1;0;1;0
131.110 us;1;0;1;0;0;0
131.820 us;1;0;0;0;0;0
131.890 us;0;0;0;0;0;0
163.050 us;0;0;0;0;1;0
163.780 us;0;0;1;0;1;0
165.750 us;0;0;1;0;0;0
166.460 us;0;0;0;0;0;0
183.990 us;0;0;0;0;1;0
184.720 us;0;0;1;0;1;0
186.880 us;0;0;1;0;0;0
187.600 us;0;0;0;0;0;0
270.260 us;0;0;0;0;1;0
270.990 us;0;0;1;0;1;0
273.150 us;0;0;1;0;0;0
273.860 us;0;0;0;0;0;0
356.520 us;0;0;0;0;1;0
357.250 us;0;0;1;0;1;0
359.420 us;0;0;1;0;0;0
360.130 us;0;0;0;0;0;0
403.280 us;0;0;0;0;1;0
404.010 us;0;0;1;0;1;0
404.070 us;1;0;1;0;1;0
408.260 us;1;0;1;0;0;0
408.980 us;1;0;0;0;0;0
409.030 us;0;0;0;0;0;0
442.790 us;0;0;0;0;1;0
443.520 us;0;0;1;0;1;0
445.680 us;0;0;1;0;0;0
446.400 us;0;0;0;0;0;0
529.060 us;0;0;0;0;1;0
529.780 us;0;0;1;0;1;0
531.950 us;0;0;1;0;0;0
532.670 us;0;0;0;0;0;0
615.320 us;0;0;0;0;1;0
616.050 us;0;0;1;0;1;0
618.210 us;0;0;1;0;0;0
618.930 us;0;0;0;0;0;0
680.420 us;0;0;0;0;1;0
681.150 us;0;0;1;0;1;0
681.210 us;1;0;1;0;1;0
687.740 us;1;0;1;0;0;0
688.460 us;1;0;0;0;0;0
688.520 us;0;0;0;0;0;0
701.590 us;0;0;0;0;1;0
702.320 us;0;0;1;0;1;0
704.490 us;0;0;1;0;0;0
705.200 us;0;0;0;0;0;0
735.580 us;0;0;0;0;1;0
736.310 us;0;0;1;0;1;0
738.280 us;0;0;1;0;0;0
738.990 us;0;0;0;0;0;0
787.860 us;0;0;0;0;1;0
788.580 us;0;0;1;0;1;0
790.750 us;0;0;1;0;0;0
791.460 us;0;0;0;0;0;0
874.120 us;0;0;0;0;1;0
874.850 us;0;0;1;0;1;0
877.020 us;0;0;1;0;0;0
877.730 us;0;0;0;0;0;0
921.310 us;0;0;0;0;1;0
922.040 us;0;0;1;0;1;0
922.070 us;0;1;1;0;1;0
924.920 us;0;1;1;0;0;0
925.630 us;0;1;0;0;0;0
925.670 us;0;0;0;0;0;0
957.560 us;0;0;0;0;1;0
958.290 us;0;0;1;0;1;0
958.350 us;1;0;1;0;1;0
964.890 us;1;0;1;0;0;0
965.610 us;1;0;0;0;0;0
965.670 us;0;0;0;0;0;0
967.160 us;0;0;0;0;1;0
967.890 us;0;0;1;0;1;0
970.050 us;0;0;1;0;0;0
970.760 us;0;0;0;0;0;0
983.100 us;0;0;0;0;1;0
983.830 us;0;0;1;0;1;0
983.860 us;0;1;1;0;1;0
989.180 us;0;1;1;0;0;0
989.890 us;0;1;0;0;0;0
989.920 us;0;0;0;0;0;0
991.390 us;0;0;0;0;1;0
992.120 us;0;0;1;0;1;0
992.150 us;0;1;1;0;1;0
1.006 760 ms;0;1;1;0;0;0
1.007 470 ms;0;1;0;0;0;0
1.007 510 ms;0;0;0;0;0;0
1.008 980 ms;0;0;0;0;1;0
