time,duration,IPL
0.000000000,0.000076130,0
0.000076130,0.000002120,4
0.000078250,0.000084150,0
0.000162400,0.000002120,4
0.000164520,0.000092770,0
0.000257290,0.000002120,4
0.000259410,0.000010940,0
0.000270400,0.000004140,5
0.000274600,0.000068960,0
0.000343560,0.000002120,4
0.000345680,0.000084140,0
0.000429820,0.000002130,4
0.000431950,0.000084140,0
0.000516090,0.000002120,4
0.000518210,0.000029270,0
0.000547540,0.000004140,5
0.000551750,0.000050610,0
0.000602360,0.000002120,4
0.000604480,0.000084140,0
0.000688620,0.000002120,4
0.000690740,0.000084150,0
0.000774890,0.000002120,4
0.000777010,0.000047610,0
0.000824670,0.000004140,5
0.000828870,0.000032280,0
0.000861150,0.000002130,4
0.000863280,0.000084140,0
0.000947420,0.000002120,4
0.000949540,0.000084140,0
0.001033680,0.000002130,4
0.001035810,0.000065950,0
0.001101820,0.000004140,5
0.001106020,0.000001280,0
0.001107350,0.000001950,7
0.001109360,0.000010590,0
0.001119950,0.000002120,4
0.001122070,0.000075520,0
0.001197590,0.000002120,4
0.001199710,0.000092770,0
0.001292480,0.000002120,4
0.001294600,0.000049640,0
0.001344240,0.000002120,4
0.001346360,0.000032530,0
0.001378950,0.000004140,5
0.001383150,0.000081860,0
0.001465010,0.000002130,4
0.001467140,0.000084140,0
0.001551280,0.000002120,4
0.001553400,0.000066890,0
0.001620290,0.000002130,4
0.001622420,0.000033610,0
0.001656090,0.000004140,5
0.001660290,0.000054900,0
0.001715190,0.000002120,4
0.001717310,0.000084140,0
0.001801450,0.000002130,4
0.001803580,0.000092760,0
0.001896340,0.000002130,4
0.001898470,0.000034700,0
0.001933230,0.000004130,5
0.001937420,0.000045190,0
0.001982610,0.000002120,4
0.001984730,0.000084150,0
0.002068880,0.000002120,4
0.002071000,0.000084150,0
0.002155150,0.000002110,4
0.002157260,0.000053040,0
0.002210360,0.000004150,5
0.002214570,0.000009590,0
0.002224160,0.000002120,4
0.002226280,0.000101400,0
0.002327680,0.000002120,4
0.002329800,0.000084140,0
0.002413940,0.000002120,4
0.002416060,0.000071380,0
0.002487500,0.000004130,5
0.002491690,0.000008520,0
0.002500210,0.000002120,4
0.002502330,0.000084150,0
0.002586480,0.000002110,4
0.002588590,0.000058160,0
0.002646800,0.000001950,7
0.002648810,0.000023930,0
0.002672740,0.000002130,4
0.002674870,0.000075510,0
0.002750380,0.000002120,4
0.002752500,0.000012080,0
0.002764640,0.000004150,5
0.002768840,0.000041930,0
0.002810770,0.000002120,4
0.002812890,0.000110020,0
0.002922910,0.000002130,4
0.002925040,0.000092770,0
0.003017810,0.000002120,4
0.003019930,0.000021790,0
0.003041770,0.000006490,5
0.003048320,0.000038500,0
0.003086820,0.000002120,4
0.003088940,0.000101400,0
0.003190340,0.000002120,4
0.003192460,0.000075520,0
0.003267980,0.000002120,4
0.003270100,0.000048750,0
0.003318910,0.000006500,5
0.003325470,0.000002670,0
0.003328170,0.000002800,6
0.003331000,0.000031870,0
0.003362870,0.000002120,4
0.003364990,0.000023920,0
0.003388940,0.000005270,6
0.003394240,0.000001480,0
0.003395750,0.000013170,6
0.003408950,0.000001510,0
0.003410480,0.000038630,3
0.003449170,0.000002060,4
0.003451230,0.000032380,0
0.003483610,0.000002120,4
0.003485730,0.000101400,0
0.003587130,0.000002130,4
0.003589260,0.000006700,0
0.003596020,0.000004460,5
0.003600540,0.000113810,0
0.003714350,0.000002120,4
0.003716470,0.000052190,0
0.003768660,0.000002130,4
0.003770790,0.000102340,0
0.003873190,0.000004150,5
0.003877390,0.000005580,0
0.003882970,0.000002120,4
0.003885090,0.000084140,0
0.003969230,0.000002130,4
0.003971360,0.000084140,0
0.004055500,0.000002120,4
0.004057620,0.000075990,0
0.004133660,0.000001320,7
0.004135030,0.000001010,0
0.004136040,0.000002120,4
0.004138160,0.000012100,0
0.004150320,0.000004130,5
0.004154510,0.000073520,0
0.004228030,0.000002130,4
0.004230160,0.000084140,0
0.004314300,0.000002120,4
0.004316420,0.000084140,0
0.004400560,0.000002130,4
0.004402690,0.000024710,0
0.004427460,0.000004150,5
0.004431670,0.000055160,0
0.004486830,0.000002120,4
0.004488950,0.000084150,0
0.004573100,0.000002120,4
0.004575220,0.000084140,0
0.004659360,0.000002130,4
0.004661490,0.000043050,0
0.004704600,0.000004130,5
0.004708790,0.000036840,0
0.004745630,0.000002120,4
0.004747750,0.000015130,0
0.004762880,0.000002120,4
0.004765000,0.000084150,0
0.004849150,0.000002120,4
0.004851270,0.000130410,0
0.004981730,0.000004150,5
0.004985940,0.000018490,0
0.005004430,0.000002120,4
0.005006550,0.000084140,0
0.005090690,0.000002120,4
0.005092810,0.000066900,0
0.005159710,0.000002120,4
0.005161830,0.000032380,0
0.005194210,0.000002130,4
0.005196340,0.000062470,0
0.005258870,0.000004140,5
0.005263060,0.000069180,0
0.005332240,0.000002120,4
0.005334360,0.000101400,0
0.005435760,0.000002120,4
0.005437880,0.000084150,0
0.005522030,0.000002120,4
0.005524150,0.000011800,0
0.005536010,0.000004150,5
0.005540220,0.000068070,0
0.005608290,0.000002120,4
0.005610410,0.000084150,0
0.005694560,0.000002120,4
0.005696680,0.000084140,0
0.005780820,0.000002130,4
0.005782950,0.000030140,0
0.005813140,0.000004140,5
0.005817340,0.000049750,0
0.005867090,0.000002120,4
0.005869210,0.000084140,0
0.005953350,0.000002130,4
0.005955480,0.000084140,0
0.006039620,0.000002120,4
0.006041740,0.000015130,0
0.006056870,0.000002120,4
0.006058990,0.000031240,0
0.006090280,0.000004150,5
0.006094490,0.000091790,0
0.006186280,0.000002110,4
0.006188390,0.000049650,0
0.006238040,0.000002120,4
0.006240160,0.000127200,0
0.006367420,0.000004130,5
0.006371610,0.000013070,0
0.006384680,0.000002130,4
0.006386810,0.000084140,0
0.006470950,0.000002120,4
0.006473070,0.000020250,0
0.006493320,0.000002120,4
0.006495440,0.000084150,0
0.006579590,0.000002120,4
0.006581710,0.000066890,0
0.006648600,0.000002120,4
0.006650720,0.000087610,0
0.006738400,0.000004140,5
0.006742600,0.000009520,0
0.006752120,0.000002120,4
0.006754240,0.000084150,0
0.006838390,0.000002110,4
0.006840500,0.000084150,0
0.006924650,0.000002120,4
0.006926770,0.000049640,0
0.006976410,0.000002120,4
0.006978530,0.000036950,0
0.007015530,0.000006490,5
0.007022080,0.000006090,0
0.007028170,0.000002120,4
0.007030290,0.000135900,0
0.007166190,0.000002130,4
0.007168320,0.000032380,0
0.007200700,0.000002120,4
0.007202820,0.000089790,0
0.007292670,0.000006500,5
0.007299230,0.000013830,0
0.007313090,0.000002810,6
0.007315930,0.000040050,0
0.007355980,0.000002130,4
0.007358110,0.000016090,0
0.007374230,0.000005280,6
0.007379540,0.000001480,0
0.007381050,0.000013170,6
0.007394250,0.000001510,0
0.007395780,0.000046440,3
0.007442280,0.000002060,4
0.007444340,0.000066890,0
0.007511230,0.000002130,4
0.007513360,0.000056360,0
0.007569780,0.000004460,5
0.007574300,0.000031830,0
0.007606130,0.000002120,4
0.007608250,0.000066920,0
0.007675170,0.000002120,4
0.007677290,0.000049640,0
0.007726930,0.000002120,4
0.007729050,0.000117840,0
0.007846940,0.000004150,5
0.007851150,0.000022430,0
0.007873580,0.000002120,4
0.007875700,0.000084140,0
0.007959840,0.000002130,4
0.007961970,0.000084140,0
0.008046110,0.000002120,4
0.008048230,0.000075790,0
0.008124080,0.000004130,5
0.008128270,0.000004110,0
0.008132380,0.000002120,4
0.008134500,0.000084140,0
0.008218640,0.000002130,4
0.008220770,0.000084140,0
0.008304910,0.000002120,4
0.008307030,0.000066890,0
0.008373920,0.000002130,4
0.008376050,0.000025110,0
0.008401220,0.000004150,5
0.008405430,0.000063380,0
0.008468810,0.000002130,4
0.008470940,0.000092770,0
0.008563710,0.000002120,4
0.008565830,0.000084140,0
0.008649970,0.000002130,4
0.008652100,0.000026190,0
0.008678350,0.000004140,5
0.008682550,0.000053690,0
0.008736240,0.000002120,4
0.008738360,0.000084140,0
0.008822500,0.000002130,4
0.008824630,0.000084140,0
0.008908770,0.000002120,4
0.008910890,0.000044550,0
0.008955490,0.000004150,5
0.008959700,0.000035340,0
0.008995040,0.000002120,4
0.008997160,0.000084150,0
0.009081310,0.000002110,4
0.009083420,0.000084150,0
0.009167570,0.000002130,4
0.009169700,0.000015120,0
0.009184820,0.000002130,4
0.009186950,0.000045620,0
0.009232630,0.000004130,5
0.009236820,0.000094660,0
0.009331480,0.000002120,4
0.009333600,0.000092770,0
0.009426370,0.000002120,4
0.009428490,0.000081220,0
0.009509770,0.000004140,5
0.009513970,0.000001490,0
0.009515460,0.000002130,4
0.009517590,0.000081310,0
0.009598900,0.000002120,4
0.009601020,0.000084150,0
0.009685170,0.000002120,4
0.009687290,0.000084140,0
0.009771430,0.000002130,4
0.009773560,0.000013280,0
0.009786900,0.000004140,5
0.009791090,0.000066610,0
0.009857700,0.000002120,4
0.009859820,0.000084140,0
0.009943960,0.000002130,4
0.009946090,0.000072360,0
0.010018480,0.000001530,6
