time,duration,nestlevel
0.000000000,0.000003330,1
0.000003330,0.000009180,0
0.000012510,0.000006290,1
0.000018800,0.000002430,0
0.000021230,0.000016140,1
0.000037370,0.000002430,0
0.000039800,0.000021370,1
0.000061170,0.000005500,2
0.000066670,0.000002480,1
0.000069150,0.000003110,2
0.000072260,0.000062200,1
0.000134460,0.000002970,2
0.000137430,0.000035100,1
0.000172530,0.000003100,2
0.000175630,0.000083170,1
0.000258800,0.000003110,2
0.000261910,0.000060930,1
0.000322840,0.000011150,0
0.000333990,0.000002900,1
0.000336890,0.000001620,0
0.000338510,0.000005200,1
0.000343710,0.000003340,0
0.000347050,0.000003110,1
0.000350160,0.000055520,0
0.000405680,0.000003110,1
0.000408790,0.000109040,0
0.000517830,0.000003110,1
0.000520940,0.000065910,0
0.000586850,0.000003100,1
0.000589950,0.000025730,0
0.000615680,0.000005180,1
0.000620860,0.000069510,0
0.000690370,0.000003110,1
0.000693480,0.000083160,0
0.000776640,0.000003100,1
0.000779740,0.000083170,0
0.000862910,0.000003100,1
0.000866010,0.000026820,0
0.000892830,0.000005190,1
0.000898020,0.000008510,0
0.000906530,0.000002900,1
0.000909430,0.000022490,0
0.000931920,0.000003110,1
0.000935030,0.000031400,0
0.000966430,0.000003100,1
0.000969530,0.000126300,0
0.001095830,0.000003100,1
0.001098930,0.000071040,0
0.001169970,0.000005180,1
0.001175150,0.000032830,0
0.001207980,0.000003110,1
0.001211090,0.000022770,0
0.001233860,0.000003100,1
0.001236960,0.000006650,0
0.001243610,0.000003000,1
0.001246610,0.000133910,0
0.001380520,0.000003100,1
0.001383620,0.000063500,0
0.001447120,0.000005190,1
0.001452310,0.000005850,0
0.001458160,0.000003100,1
0.001461260,0.000017790,0
0.001479050,0.000002910,1
0.001481960,0.000071090,0
0.001553050,0.000003100,1
0.001556150,0.000083170,0
0.001639320,0.000003110,1
0.001642430,0.000081830,0
0.001724260,0.000005170,1
0.001729430,0.000002480,0
0.001731910,0.000003110,1
0.001735020,0.000080190,0
0.001815210,0.000003110,1
0.001818320,0.000083160,0
0.001901480,0.000003100,1
0.001904580,0.000083170,0
0.001987750,0.000003110,1
0.001990860,0.000010540,0
0.002001400,0.000005190,1
0.002006590,0.000044990,0
0.002051580,0.000002910,1
0.002054490,0.000019520,0
0.002074010,0.000003110,1
0.002077120,0.000083170,0
0.002160290,0.000003100,1
0.002163390,0.000074540,0
0.002237930,0.000003100,1
0.002241030,0.000037510,0
0.002278540,0.000005180,1
0.002283720,0.000049100,0
0.002332820,0.000003100,1
0.002335920,0.000083170,0
0.002419090,0.000003110,1
0.002422200,0.000083160,0
0.002505360,0.000003100,1
0.002508460,0.000047230,0
0.002555690,0.000005190,1
0.002560880,0.000030740,0
0.002591620,0.000003110,1
0.002594730,0.000029370,0
